url	title	provider	rating	num_ratings
https://www.coursera.org/learn/code-free-data-science	Code Free Data Science	University of California San Diego	4.3	14
https://www.coursera.org/learn/introduction-clinical-data-science	Introduction to Clinical Data Science	University of Colorado System	4.7	115
https://www.coursera.org/learn/what-is-datascience	What is Data Science?	IBM	4.7	16,868
https://www.coursera.org/learn/the-data-science-of-health-informatics	The Data Science of Health Informatics	Johns Hopkins University	4.8	14
https://www.coursera.org/learn/spatial-data-science	Spatial Data Science and Applications	Yonsei University	4.4	139
https://www.coursera.org/learn/data-science-methodology	Data Science Methodology	IBM	4.6	7,657
https://www.coursera.org/learn/datasciencemathskills	Data Science Math Skills	Duke University	4.5	2,048
https://www.coursera.org/learn/sql-data-science	Databases and SQL for Data Science	IBM	4.7	5,838
https://www.coursera.org/learn/data-science-for-business-innovation	Data Science for Business Innovation	EIT Digital Politecnico di Milano	3.8	6
https://www.coursera.org/learn/python-for-data-science	Python для анализа данных	Moscow Institute of Physics and Technology ФРОО Mail.Ru Group	4.4	33
https://www.coursera.org/learn/open-source-tools-for-data-science	Open Source tools for Data Science	IBM	4.6	9,863
https://www.coursera.org/learn/data-science-k-means-clustering-python	Foundations of Data Science: K-Means Clustering in Python	University of London Goldsmiths, University of London	4.7	24
https://www.coursera.org/learn/executive-data-science-capstone	Executive Data Science Capstone	Johns Hopkins University	4.6	1,102
https://www.coursera.org/learn/competitive-data-science	How to Win a Data Science Competition: Learn from Top Kagglers	National Research University Higher School of Economics	4.7	703
https://www.coursera.org/learn/advanced-data-science-capstone	Advanced Data Science Capstone	IBM	4.6	138
https://www.coursera.org/learn/applied-data-science-capstone	Applied Data Science Capstone	IBM	4.7	1,952
https://www.coursera.org/learn/real-life-data-science	Data Science in Real Life	Johns Hopkins University	4.4	1,574
https://www.coursera.org/learn/data-science-ethics	Data Science Ethics	University of Michigan	4.6	109
https://www.coursera.org/learn/build-data-science-team	Building a Data Science Team	Johns Hopkins University	4.5	2,497
https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r	Introducción a Data Science: Programación Estadística con R	Universidad Nacional Autónoma de México	4.7	3,520
https://www.coursera.org/learn/python-for-applied-data-science-ai	Python for Data Science and AI	IBM	4.6	8,267
https://www.coursera.org/learn/data-science-project	Data Science Capstone	Johns Hopkins University	4.5	896
https://www.coursera.org/learn/sql-for-data-science	SQL for Data Science	University of California, Davis	4.6	2,464
https://www.coursera.org/learn/data-science-course	A Crash Course in Data Science	Johns Hopkins University	4.5	5,068
https://www.coursera.org/learn/advanced-clinical-data-science	Advanced Clinical Data Science	University of Colorado System	0	0
https://www.coursera.org/learn/genomic-data-science-project	Genomic Data Science Capstone	Johns Hopkins University	4.5	33
